序号,ID,标题,类型标签,网盘类目,年份,模块,是否已提取百度链接,转存状态,提取码,解压密码,云桥链接,百度链接,备注
11,6171,鼠标单击轨道标记特效 – Mouse Click FX. Track marker,合成教程,合成教程,2026,未分类,无,failed,yq16310,yunqiaonet,https://www.yunqiaonet.com/goto?down=andzWTFBZ2IrY0lpcWJjbWZaUjlSVWZoeWdDaCtCZnQ,,待补链接
12,6249,UE脚印车轮痕迹环境交互插件 – Trail Hunter PRO – Multiplayer and WorldPartition supported,软件素材、UE素材、模型素材,UE素材,2026,软件插件,有,link_ready,yq16307,yunqiaonet,https://www.yunqiaonet.com/goto?down=QU5OV3JYZnB2dkVpcWJjbWZaUjlSVWZoeWdDaCtCZnQ,https://pan.baidu.com/s/1kwFPFgoX9iCBmZLlkeB2vQ?pwd=99vh,
13,79764,UE商城资源 Buildings VOL.11 – Modular Offices,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=L0k1QlJ5N0pSdFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
14,79768,UE商城资源 Cobwebs,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=OW9scmpPaFpsM25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
15,79776,UE商城资源 AI运动增强系统 Enhanced AI Movement,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=dkpaV1dTOTIzaXZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
16,79778,UE商城资源 FluidAuraTrail Grid2d,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=VytDc3FXSEJIbzdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
17,79780,UE商城资源 HANGAR-X,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=NzFrWSt2dU04K1hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
18,79782,UE商城资源 HQ Benches Vol. 1,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=UWNGMVlsZ2xqL25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
19,79787,UE商城资源 Magic Kit 05,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=N3lKZ3AwRzNyZVhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
20,79791,UE商城资源 NWIRO – AI Integration Kit ( Unreal Copilot & MCP & IK & Ultimate AI Bridge MCP),UE素材,UE素材,2026,教程课程,有,link_ready,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=SUZySjZYTmJPVFBTYW42ZmYwYjdiRk80WWExWEJtWVk,https://pan.baidu.com/s/1Eq9JvjhbOd5omfSjHR7SbA?pwd=94bs,
21,79793,UE商城资源 Procedural Terrain Generator v2,UE素材,UE素材,2026,虚幻商城资产,无,failed,,yunqiaonet,https://www.yunqiaonet.com/goto?down=TlBjdThjQWEyUUhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
22,79797,UE商城资源 Resident Horror V2,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=UWx5c3JaNzJPZGpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
23,79799,"UE商城资源 Space kit, spaceships, planets",UE素材,UE素材,2026,虚幻商城资产,有,link_ready,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=SndzaG5aZ0lEaHJTYW42ZmYwYjdiRk80WWExWEJtWVk,https://pan.baidu.com/s/1DoU-vmrpPxgPIpwHpFVjfw?pwd=t343,
24,79801,UE商城资源 Steam – SteamCore PRO,软件素材、UE素材,UE素材,2026,软件插件,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=TDJGMTJaWmRSM0RTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
25,79803,UE商城资源 Stylized Nature: Rocks & Grass,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=UStyVWllZlg1U25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
26,79805,"UE商城资源 Toskov: Post Apocalyptic City Megapack (Modular City, Post Apocalyptic City)",UE素材、模型素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=OHFDdXNmNlMxOFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
27,79813,建筑AI电影制作课程：从草图到银幕的创作指南,AI教程,AI教程,2026,教程课程,无,pending,,yunqiaonet,,,待补链接
28,79809,Blender+Substance 3D Painter风格化角色外观开发全流程,模型教程、Blender教程、Substance教程,综合教程,2026,教程课程,无,failed,yq16301,yunqiaonet,https://www.yunqiaonet.com/goto?down=SXd5azJQQmE1Um5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
29,79845,AI+CAD实战：用Fusion 360、Claude与Python赋能机械设计,AI教程、软件教程,综合教程,2026,教程课程,无,failed,yq16303,yunqiaonet,https://www.yunqiaonet.com/goto?down=c084QlRjWFpTdjNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
30,79457,Houdini CFX 大师课：从毛发梳理到肌肉模拟，全方位赋予角色生命力,模型教程、Houdini教程,Houdini教程,2026,教程课程,无,failed,yq16205,yunqiaonet,https://www.yunqiaonet.com/goto?down=OWFEeUZtRjI4UFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
31,79831,Zbursh | Realistic Skin & Clay Material Pack + Bonus Tutorial,贴图教程、模型教程,综合教程,2026,教程课程,无,failed,yq16299,yunqiaonet,https://www.yunqiaonet.com/goto?down=UG9ob1p2cEpya3pTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
32,79829,UE5游戏光照大师课：从基础到AAA行业标准 Lighting for videogames course,UE教程,UE教程,2026,教程课程,有,link_ready,yq16298,yunqiaonet,https://www.yunqiaonet.com/goto?down=elNXM05PK01la2FncWVGZlJwWEpoTUs2SGIybVlTcDc,https://pan.baidu.com/s/1JbFhTEnVLJnCPk85jdsvVQ?pwd=6py4,
33,79826,从零搭建机器人：NVIDIA Isaac Sim 实战课程精要,AI教程,AI教程,2026,教程课程,无,failed,yq16296,yunqiaonet,https://www.yunqiaonet.com/goto?down=QkQvc2Y3RjBoZjdTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
34,79740,Houdini岩浆特效制作大师课：MPM解算器与全流程实战解析,合成教程、Houdini教程,Houdini教程,2026,教程课程,无,failed,yq16286,yunqiaonet,https://www.yunqiaonet.com/goto?down=UlNMRWNuTlduNlhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
35,79807,UE商城资源 World Director NPC PRO – Massive NPC Simulation with Multiplayer & Optimization,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=MnNrQVpuUGh2L25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
36,79795,UE商城资源 Quillscript Dialog System,软件素材、UE素材,UE素材,2026,软件插件,无,failed,,yunqiaonet,https://www.yunqiaonet.com/goto?down=S1R4UWRqS1pDdGZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
37,79766,UE商城资源 Combat Magic Animations,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16290,yunqiaonet,https://www.yunqiaonet.com/goto?down=RUw0WWZsb0lrbURTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
38,79313,电影灯光艺术大师课 从画师到视觉叙事者，光影、色彩与情绪的专业掌控,综合教程,综合教程,2026,教程课程,无,failed,yq16155,yunqiaonet,https://www.yunqiaonet.com/goto?down=YU84ajB5ZEZWbFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
39,79717,构建可规模化的RTS经济体系：虚幻引擎5资源采集与AI工人管理大师课,UE教程,UE教程,2026,教程课程,无,failed,yq16267,yunqiaonet,https://www.yunqiaonet.com/goto?down=WTduakNWRlRoYStncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
40,79391,游戏动捕实战：从零基础到AAA级制作全流程,综合教程,综合教程,2026,教程课程,无,failed,yq16228,yunqiaonet,https://www.yunqiaonet.com/goto?down=STh0VGNULzJkUkNncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
41,79296,UE5 JRPG大师课：回合制战斗与2D/3D混合系统全栈开发,UE教程,UE教程,2026,教程课程,无,failed,yq16138,yunqiaonet,https://www.yunqiaonet.com/goto?down=cmZZbndncVhmYjZncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
42,79676,从零到生产级：Substance Designer悬崖材质创作大师课,贴图教程、Substance教程,Substance教程,2026,教程课程,无,failed,yq16259,yunqiaonet,https://www.yunqiaonet.com/goto?down=Qm9Kc1piL002Y3JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
43,79672,UE商城资源合集包 Unreal Engine Bundle 8 June 2026,UE素材、模型素材,UE素材,2026,虚幻商城资产,无,failed,yq16256,yunqiaonet,https://www.yunqiaonet.com/goto?down=dzA0b052akkzTlhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
44,79548,掌握Maya风格化动作动画制作工作流与动态视觉技法,Maya教程,Maya教程,2026,教程课程,无,failed,yq16253,yunqiaonet,https://www.yunqiaonet.com/goto?down=YTE1TFZ2VEMraEhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
45,79622,Blender游戏就绪模型,模型素材、Blender素材,Blender素材,2026,模型,无,failed,yq16231,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZVlxd2NTNVhjdWZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
46,79657,用UE5打造有灵魂的游戏世界,UE教程,UE教程,2026,未分类,无,failed,yq16239,yunqiaonet,https://www.yunqiaonet.com/goto?down=UUtoSm9CTVh1RldncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
47,79607,RedefineFX虚幻5.8 Niagara实时系列之Pyro烟火模拟篇,UE教程,UE教程,2026,教程课程,无,failed,yq16222,yunqiaonet,https://www.yunqiaonet.com/goto?down=L21UM0oyYlhhMm1ncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
48,79609,UE5打造电影级能量光束镜头,合成素材、UE素材,综合素材,2026,合成元素,无,failed,yq16229,yunqiaonet,https://www.yunqiaonet.com/goto?down=dGdnbU8ycWZNM1NncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
49,79644,AAA硬表面全流程实战课：从零打造AR-15影视级资产,模型教程,模型教程,2026,教程课程,无,failed,yq16236,yunqiaonet,https://www.yunqiaonet.com/goto?down=WUk5VncyQnljZi9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
50,79629,从提示词到写实大片：一站式AI建筑设计进阶指南,AI教程,AI教程,2026,教程课程,无,failed,yq16235,yunqiaonet,https://www.yunqiaonet.com/goto?down=ajJVRkNxM2FibXZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
51,78174,黑沙滩 – 冰岛 – Black Beach – Iceland,综合教程,综合教程,2026,未分类,无,failed,yq16230,yunqiaonet,https://www.yunqiaonet.com/goto?down=VW56K0I5VHNrcXJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
52,6155,地面材料包 v1 – Ground Material Pack v1,贴图素材、模型素材,综合素材,2026,材质贴图,无,failed,yq16225,yunqiaonet,https://www.yunqiaonet.com/goto?down=bis5VlRLTlByRlFpcWJjbWZaUjlSVWZoeWdDaCtCZnQ,,待补链接
53,79577,26套电音嘻哈采样工程合集 EDM Templates Collection,音效素材,音效素材,2026,配乐音效,无,failed,yq16216,yunqiaonet,https://www.yunqiaonet.com/goto?down=NDg5VVhocStGWDZncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
54,79579,未来主义硬核嘻哈采样 Big Fish Audio Trap Mood Swings MULTiFORMAT,音效素材,音效素材,2026,配乐音效,无,failed,yq16217,yunqiaonet,https://www.yunqiaonet.com/goto?down=TnZwQVNrckJMQU9ncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
55,76785,Marvelous Designer & Blender AI：3D服装设计与渲染,Blender教程、Marvelous教程,综合教程,2026,未分类,无,failed,YQ13970,yunqiaonet,https://www.yunqiaonet.com/goto?down=bGRpcUF4RmxFTTNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
56,6281,武装直升机迷你游戏 – Death From Above – Gunship Mini-Game,综合教程,综合教程,2026,未分类,无,failed,yq16212,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZWRqWFpIUFI1akFpcWJjbWZaUjlSVWZoeWdDaCtCZnQ,,待补链接
57,79455,ZBrush人体雕塑全流程实战教程,模型教程、ZBrush教程,ZBrush教程,2026,教程课程,无,failed,yq16210,yunqiaonet,https://www.yunqiaonet.com/goto?down=cTFrdHNvQmQxRFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
58,79374,UE5.8 C++ 多人FPS开发大师课：从零构建可扩展的竞技射击游戏,UE教程,UE教程,2026,教程课程,无,failed,yq16170,yunqiaonet,https://www.yunqiaonet.com/goto?down=YUk1SEJVTmFHK2lncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
59,79483,虚幻引擎5材质大师课：从零基础到生产级材质全流程教学,UE教程、贴图教程,综合教程,2026,教程课程,无,failed,yq16198,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZEh5S3pNclQyS2FncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
60,79517,解锁虚幻引擎5顶级运动与交互系统的实战课程,UE教程,UE教程,2026,教程课程,无,failed,yq16207,yunqiaonet,https://www.yunqiaonet.com/goto?down=T0h5ZUthZ2V3aXlncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
61,78270,用AI完成3D长篇动画制作入门课程：Kling × NanoBanana × Midjourney,AI教程,AI教程,2026,教程课程,无,failed,yq15260,yunqiaonet,https://www.yunqiaonet.com/goto?down=Z00wWEQ5UlE0UkxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
62,78952,Blackmagic Design DaVinci Resolve Studio 21.0 B3,调色教程,调色教程,2026,未分类,无,failed,,yunqiaonet,https://www.yunqiaonet.com/goto?down=U1JoMC90M1F2NjJsWEJqemh4b2tmWjhEMVdhRDdIT1A,,待补链接
63,78176,更新5.6蓝图节点屏幕截图插件 – Blueprint Graph Screenshot,软件教程,软件教程,2026,软件插件,无,failed,yq16199,yunqiaonet,https://www.yunqiaonet.com/goto?down=V0NNbDE1dnJHRFBTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
64,6201,105个僵尸动画动作捕捉 + 281个额外僵尸音频 – 105 Zombie Animations Mocap + 281 Bonus Zombie Audio,音效素材,音效素材,2026,配乐音效,无,failed,yq16197,yunqiaonet,https://www.yunqiaonet.com/goto?down=VFR1WXFKaFJWTDBpcWJjbWZaUjlSVWZoeWdDaCtCZnQ,,待补链接
65,79379,UE5电影级环境全流程制作解析——从概念到成片的虚幻引擎5实战指南,UE教程、模型教程,综合教程,2026,教程课程,无,failed,,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZTFiby8veGwyVzJncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
66,79381,电影摄影技巧直播课程,综合教程,综合教程,2026,教程课程,无,failed,yq16173,yunqiaonet,https://www.yunqiaonet.com/goto?down=UHlsVGhKa1RTdkhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
67,79377,精通Marmoset Toolbag 5,软件教程,软件教程,2026,未分类,无,failed,yq16177,yunqiaonet,https://www.yunqiaonet.com/goto?down=M2Q0SU9lbnlyL25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
68,6204,更新UE5.7虚幻引擎的 WebSocket 客户端 – WebSocket Client for Unreal Engine,UE教程,UE教程,2026,未分类,无,failed,yq16185,yunqiaonet,https://www.yunqiaonet.com/goto?down=eTBXY05Bd1hVdThpcWJjbWZaUjlSVWZoeWdDaCtCZnQ,,待补链接
69,79389,Houdini虎鲸海洋镜头Hip文件 Orcas Ocean Houdini Shot,Houdini教程,Houdini教程,2026,未分类,无,failed,yq16172,yunqiaonet,https://www.yunqiaonet.com/goto?down=Z1I5eExLTDVjMS9TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
70,79090,超现实娱乐视觉——向吴在元学习实战AI VFX,AI教程、合成教程,综合教程,2026,教程课程,有,linked,yq16161,yunqiaonet,https://www.yunqiaonet.com/goto?down=bzhkdFFzK1ZGdXpTYW42ZmYwYjdiRk80WWExWEJtWVk,https://pan.baidu.com/s/1n71l9-WNpU3213V6qEinsA?pwd=hk8u#list/path=%2F,
71,79385,UE5湖泊海洋制作工具 Easy Waterscape – Realtime Ocean & Water System,软件素材、UE素材,UE素材,2026,软件插件,无,failed,yq16171,yunqiaonet,https://www.yunqiaonet.com/goto?down=cDNKZ2ZUT0U2UG5TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
72,6202,动态人物角色运动效果添加蓝图 – Dynamic smears,模型素材,模型素材,2026,模型,无,failed,yq16168,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZVNseGJyZWlCKzhpcWJjbWZaUjlSVWZoeWdDaCtCZnQ,,待补链接
73,78272,AI大赛21冠王的获奖秘籍：从备战策略到掌握AI视频制作,视频教程,视频教程,2026,教程课程,无,failed,yq15200,yunqiaonet,https://www.yunqiaonet.com/goto?down=TzBWeGJZN0NrbURTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
74,79355,UE资源合集包 Unreal Engine Bundle 10 June 2026,UE素材、模型素材,UE素材,2026,虚幻商城资产,无,failed,yq16163,yunqiaonet,https://www.yunqiaonet.com/goto?down=UEdXajcwR3hHZ25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
75,79326,ue资源合集包 Unreal Engine Bundle 2 May 2026,UE素材、模型素材,UE素材,2026,虚幻商城资产,无,failed,,yunqiaonet,https://www.yunqiaonet.com/goto?down=NTNDU2crYS9rVUhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
76,79318,UE资源合集包 Unreal Engine Bundle 2 June 2026,UE素材、模型素材,UE素材,2026,虚幻商城资产,无,failed,yq16157,yunqiaonet,https://www.yunqiaonet.com/goto?down=SXRhN1EvNG1aZWZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
77,79298,UE5 2D横版射击游戏全栈开发实战,UE教程,UE教程,2026,教程课程,无,failed,yq16136,yunqiaonet,https://www.yunqiaonet.com/goto?down=TmhHdDN1NkI3cm1ncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
78,79284,UE资源合集包 Unreal Engine Bundle 7 June 2026,UE素材、模型素材,UE素材,2026,虚幻商城资产,无,failed,yq16128,yunqiaonet,https://www.yunqiaonet.com/goto?down=RW80eWJ6MWxGMWZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
79,79261,UE5游戏菜单与UI框架全流程开发课程,UE教程,UE教程,2026,教程课程,无,failed,yq16120,yunqiaonet,https://www.yunqiaonet.com/goto?down=RmtmbnhKaUVURUtncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
80,79328,UE商城素材合集包 Unreal Engine Bundle 5 May 2026,UE素材、模型素材,UE素材,2026,虚幻商城资产,无,failed,,yunqiaonet,https://www.yunqiaonet.com/goto?down=Z1RqbEhrbG96OWpTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
81,79324,"UE资源 Middle Eastern Town Gigapack w/ Level PCG ( MET, Palace, Bazaar, City)",UE素材、模型素材,UE素材,2026,虚幻商城资产,无,failed,yq16137,yunqiaonet,https://www.yunqiaonet.com/goto?down=K1JCdnJpRFBJL25TYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
82,79322,UE资源 11+ Dark Fantasy Staff,UE素材,UE素材,2026,虚幻商城资产,无,failed,yq16137,yunqiaonet,https://www.yunqiaonet.com/goto?down=Y0p2WTNRZmx5WjNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
83,79320,UE资源 Action Adventure Climb Rope Animation Pack,UE素材、模型素材,UE素材,2026,虚幻商城资产,无,failed,yq16137,yunqiaonet,https://www.yunqiaonet.com/goto?down=QTU1Zk5QWDdNMjNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
84,79310,UE5专业环境美术大师课：从底层逻辑到行业标准工作流,UE教程、模型教程,综合教程,2026,教程课程,无,failed,yq16153,yunqiaonet,https://www.yunqiaonet.com/goto?down=clJnM2RuN3ZpZzJncWVGZlJwWEpoTUs2SGIybVlTcDc,,待补链接
85,79307,顶级游戏场景教程 ThinkTank Training,模型教程,模型教程,2026,教程课程,无,failed,yq16152,yunqiaonet,https://www.yunqiaonet.com/goto?down=TjZSNmRWL09vYTNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
86,79277,从概念艺术到最终雕刻风格化3D角色制作全流程,模型教程,模型教程,2026,教程课程,无,failed,yq16129,yunqiaonet,https://www.yunqiaonet.com/goto?down=d01VVkRLMGVMYkhTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
87,79255,8周画出会讲故事的作品——从主题构想到笔触收束，找到你的独特画风,综合教程,综合教程,2026,未分类,无,failed,yq16115,yunqiaonet,https://www.yunqiaonet.com/goto?down=cy9YczFVYkQ1NXZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
88,79259,Houdini破坏与烟火特效全流程实战课程 —— 从碎裂到Karma最终渲染,合成教程、Houdini教程,Houdini教程,2026,教程课程,无,failed,yq16119,yunqiaonet,https://www.yunqiaonet.com/goto?down=dk5aWTdHSnJhbERTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
89,77191,3D视觉设计课：HYBE、SM娱乐合作艺术家亲授！平面设计师的3D实战指南,综合教程,综合教程,2026,教程课程,无,failed,YQ15011,yunqiaonet,https://www.yunqiaonet.com/goto?down=aVVUQVE5cUVvWUxTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
90,79128,使用Maya、Blender与Unity，打造高品质3D动漫角色,模型素材、Unity素材、Blender素材、Maya素材,综合素材,2026,模型,无,failed,yq16057,yunqiaonet,https://www.yunqiaonet.com/goto?down=MVN6c3NBeE4vc2JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
91,79176,从入门到精通Maya游戏生物动画制作实战指南,Maya教程,Maya教程,2026,教程课程,无,failed,yq16068,yunqiaonet,https://www.yunqiaonet.com/goto?down=U1k1c2kyb2M0aXJTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
92,6315,现代图书馆 – 场景和资产 – Modern Library – Scene & Assets,模型素材,模型素材,2026,模型,无,failed,yq16085,yunqiaonet,https://www.yunqiaonet.com/goto?down=akw3bUZ2V2NwVnNpcWJjbWZaUjlSVWZoeWdDaCtCZnQ,,待补链接
93,79108,Mari双足生物纹理制作实战课程,贴图教程,贴图教程,2026,教程课程,无,failed,yq16051,yunqiaonet,https://www.yunqiaonet.com/goto?down=WHlraUVRM2pwS2JTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
94,79115,掌握人物雕塑核心法则,模型教程,模型教程,2026,教程课程,无,failed,yq16055,yunqiaonet,https://www.yunqiaonet.com/goto?down=QWx4SzU4V0RESmZTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
95,79144,Houdini真实世界级的汽车破坏特效制作教程,合成教程、Houdini教程,Houdini教程,2026,教程课程,无,failed,yq16056,yunqiaonet,https://www.yunqiaonet.com/goto?down=ZnByQjdJL01uVFRTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
96,79162,实时游戏马匹毛发制作全流程：XGen、Unreal 与 Toolbag 实战教程,UE教程、软件教程,综合教程,2026,教程课程,无,failed,yq16070,yunqiaonet,https://www.yunqiaonet.com/goto?down=Rk1XLzRkblFac1hTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
97,46968,在UE5中创建实时适合游戏的Houdini程序化数字艺术资产,模型素材、UE素材、Houdini素材,Houdini素材,2026,模型,无,failed,YQ11135,123yunqiaonet,https://www.yunqiaonet.com/goto?down=SzVxNkdaeWlKcDNTYW42ZmYwYjdiRk80WWExWEJtWVk,,待补链接
